idt_ponto,well,POINT_X,POINT_Y,ne
3500034021,ALT,-49.135556,-20.5475,21.15
3500027324,ADR,-51.358333,-20.842778,13.38
3500027325,ASI,-50.377222,-22.606111,25.51
3500027887,BAS,-50.678333,-21.951389,4.17
3500034018,CPL,-49.340278,-22.4575,33.48
3500029466,FLR,-51.384167,-21.675,44.41
3500034019,MER,-50.169167,-20.351111,29.3
3500027321,MAP,-49.731944,-20.779444,25.73
3500029467,NAR,-51.526111,-22.415833,26.24
3500027322,PEN,-50.016389,-21.425,18.66
3500027320,PIN,-48.901667,-21.22,29.63
3500029468,TSM,-52.245,-22.311111,29.22
3500027323,VAL,-50.929722,-21.313889,10.5
