Date,PIN,MAP,PEN,VAL,ADR,ASI,BAS,FLR,NAR,TSM,CPL,MER,ALT
11/23/2010,26.99,,5.84,,,,,,,,,,
11/24/2010,27.01,,5.84,9.51,,,,,,,,,
11/25/2010,27.05,,5.84,9.51,,,,,,,,,
11/26/2010,27.08,,5.84,9.52,,,,,,,,,
11/27/2010,27.1,,5.85,9.52,,29.85,,,,,,,
11/28/2010,27.11,,5.85,9.52,,29.83,,,,,,,
11/29/2010,27.13,,5.86,9.52,,29.83,,,,,,,
11/30/2010,27.15,,5.86,9.52,,29.83,,,,,,,
12/1/2010,27.16,,5.86,9.53,,29.82,,,,,,,
12/2/2010,27.18,,5.86,9.53,,29.82,,,,,,,
12/3/2010,27.19,,5.87,9.53,,29.82,,,,,,,
12/4/2010,27.21,,5.86,9.53,12.75,29.82,,,,,,,
12/5/2010,27.21,,5.86,9.53,12.74,29.81,,,,,,,
12/6/2010,27.22,,5.86,9.53,12.75,29.81,,,,,,,
12/7/2010,27.22,,5.86,9.52,12.75,29.81,,,,,,,
12/8/2010,27.23,,5.85,9.52,12.77,29.82,,,,,,,
12/9/2010,27.23,,5.85,9.52,12.76,29.83,,,,,,,
12/10/2010,27.26,,5.86,9.53,12.78,29.84,,,,,,,
12/11/2010,27.28,,5.86,9.53,12.78,29.82,,,,,,,
12/12/2010,27.27,,5.86,9.53,12.78,29.83,,,,,,,
12/13/2010,27.24,,5.87,9.53,12.78,29.84,,,,,,,
12/14/2010,27.27,,5.87,9.53,12.78,29.88,,,,,,,
12/15/2010,27.3,,5.87,9.53,12.78,29.83,,,,,,,
12/16/2010,27.32,,5.87,9.53,12.79,29.8,,,,,,,
12/17/2010,27.33,,5.88,9.53,12.79,29.79,,,,,,,
12/18/2010,27.33,,5.88,9.53,12.8,29.8,,,,,,,
12/19/2010,27.33,,5.88,9.53,12.8,29.8,,,,,,,
12/20/2010,27.35,,5.88,9.53,12.81,29.79,,,,,,,
12/21/2010,27.36,,5.88,9.53,12.81,29.78,,,,,,,
12/22/2010,27.36,,5.88,9.52,12.81,29.77,,,,,,,
12/23/2010,27.33,,5.88,9.52,12.81,29.78,,,,,,,
12/24/2010,27.33,,5.89,9.52,12.82,29.8,,,,,,,
12/25/2010,27.35,,5.89,9.51,12.82,29.8,,,,,,,
12/26/2010,27.35,,5.89,9.51,12.82,29.8,,,,,,,
12/27/2010,27.35,,5.89,9.49,12.84,29.81,,,,,,,
12/28/2010,27.35,,5.89,9.49,12.85,29.81,,,,,,,
12/29/2010,27.34,,5.89,9.47,12.84,29.81,,,,,,,
12/30/2010,27.35,,5.9,9.47,12.85,29.82,,,,,,,
12/31/2010,27.37,,5.9,9.47,12.85,29.82,,,,,,,
1/1/2011,27.38,,5.9,9.46,12.85,29.81,,,,,,,
1/2/2011,27.38,,5.91,9.46,12.85,29.81,,,,,,,
1/3/2011,27.37,,5.91,9.45,12.85,29.82,,,,,,,
1/4/2011,27.37,,5.92,9.45,12.87,29.84,,,,,,,
1/5/2011,27.41,,5.92,9.45,12.86,29.83,,,,,,,
1/6/2011,27.42,,5.92,9.43,12.86,29.79,,,,,,,
1/7/2011,27.43,,5.93,9.41,12.87,29.78,,,,,,,
1/8/2011,27.43,,5.93,9.4,12.87,29.78,,,,,,,
1/9/2011,27.4,,5.93,9.38,12.87,29.78,,,,,,,
1/10/2011,27.37,,5.92,9.37,12.87,29.79,,,,,,,
1/11/2011,27.34,,5.91,9.36,12.87,29.81,,,,,,,
1/12/2011,27.35,,5.89,9.36,12.87,29.83,,,,,,,
1/13/2011,27.36,,5.86,9.35,12.87,29.83,,,,,,,
1/14/2011,27.38,,5.82,9.34,12.87,29.82,,,,,,,
1/15/2011,27.37,,5.78,9.33,12.87,29.8,,,,,,,
1/16/2011,27.38,,5.75,9.32,12.85,29.79,,,,,,,
1/17/2011,27.41,,5.73,9.32,12.85,29.8,,,,,,,
1/18/2011,27.41,,5.68,9.31,12.84,29.78,,,,,,,
1/19/2011,27.4,,5.65,9.3,12.83,29.79,,,,,,,
1/20/2011,27.41,,5.61,9.27,12.82,29.79,,,,,,,
1/21/2011,27.41,,5.58,9.24,12.82,29.8,,,,,,,
1/22/2011,27.43,,5.55,9.23,12.82,29.79,,,,,,,
1/23/2011,27.45,,5.51,9.22,12.82,29.78,,,,,,,
1/24/2011,27.45,,5.47,9.22,12.81,29.76,,,,,,,
1/25/2011,27.44,,5.44,9.21,12.82,29.75,,,,,,,
1/26/2011,27.44,,5.4,9.2,12.8,29.77,,,,,,,
1/27/2011,27.45,,5.37,9.2,12.79,29.77,,,,,,,
1/28/2011,27.45,,5.34,9.19,12.78,29.77,,,,,,,
1/29/2011,27.47,,5.32,9.19,12.77,29.77,,,,,,,
1/30/2011,27.48,,5.3,9.17,12.76,29.75,,,,,,,
1/31/2011,27.46,,5.28,9.17,12.75,29.74,,,,,,,
2/1/2011,27.47,,5.27,9.16,12.74,29.76,,,,,,,
2/2/2011,27.46,,5.25,9.15,12.72,29.75,,,,,,,
2/3/2011,27.46,,5.25,9.14,12.71,29.76,,,,,,,
2/4/2011,27.47,,5.21,9.13,12.7,29.76,,,,,,,
2/5/2011,27.47,,5.19,9.13,12.68,29.77,,,,,,,
2/6/2011,27.48,,5.16,9.12,12.67,29.78,,,,,,,
2/7/2011,27.5,,5.14,9.11,12.66,29.77,,,,,,,
2/8/2011,27.5,,5.12,9.1,12.65,29.76,,,,,,,
2/9/2011,27.48,,5.11,9.09,12.64,29.75,,,,,,,
2/10/2011,27.47,,5.09,9.09,12.63,29.77,,,,,,,
2/11/2011,27.49,,5.08,9.08,12.62,29.79,,,,,,,
2/12/2011,27.49,,5.07,9.07,12.61,29.77,,,,,,,
2/13/2011,27.48,,5.06,9.07,12.6,29.76,,,,,,,
2/14/2011,27.49,,5.05,9.06,12.59,29.77,,,,,,,
2/15/2011,27.5,,5.05,9.05,12.58,29.77,,,,,,,
2/16/2011,27.5,,5.02,9.05,12.59,29.77,,,,,,,
2/17/2011,27.5,,4.99,9.04,12.58,29.76,,,,,,,
2/18/2011,27.51,,4.97,9.03,12.56,29.75,,,,,,,
2/19/2011,27.5,,4.95,9.03,12.55,29.75,,,,,,,
2/20/2011,27.5,,4.92,9.03,12.54,29.75,,,,,,,
2/21/2011,27.5,,4.9,9.02,12.53,29.76,,,,,,,
2/22/2011,27.5,,4.89,8.9,12.52,29.74,,,,,,,
2/23/2011,27.36,,4.87,8.89,12.5,29.73,,,,,,,
2/24/2011,27.36,,4.85,8.89,12.49,29.73,,,,,,,
2/25/2011,27.39,,4.84,8.88,12.48,29.73,,,,,,,
2/26/2011,27.39,,4.82,8.88,12.47,29.73,,,,,,,
2/27/2011,27.38,,4.81,8.87,12.45,29.73,,,,,,,
2/28/2011,27.38,,4.81,8.87,12.44,29.73,,,,,,,
3/1/2011,27.38,,4.8,8.86,12.43,29.73,,,,,,,
